"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Panama,4.104,4.645,5.132,5.269,5.5,5.818,6.046,6.073,5.25,5.264,5.723,6.292,7.153,7.812,8.33,8.515,10.04,10.849,11.762,12.326,12.502,12.704,13.204,13.915,15.255,16.638,18.438,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.908,62.203,64.929,66.984,53.977,63.605,71.085,76.382
Papua New Guinea,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,24.67,27.339,31.362,33.343
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.907,35.432,38.82,41.855,44.623
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.25,121.763,148.945,170.923,193.1,202.584,202.88,192.025,195.463,215.681,226.795,232.345,205.82,225.938,239.333,253.757
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.422,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.086,401.662,425.655
Poland,56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,479.834,528.292,498.517,521.013,542.602,477.488,472.256,526.643,587.433,597.194,599.798,679.067,716.305,753.875
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,240.013,228.356,250.055,255.854,261.173
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,104.925,104.915,103.138,108.476,118.677,123.35
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.677,221.369,234.032
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.309,183.326,170.636,190.8,199.961,177.731,188.13,211.696,241.456,249.88,249.512,284.086,299.885,311.546
Russian Federation,0,0,0,0,0,0,0,0,0,0,1045.455,856.322,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.484,2288.428,2048.836,1356.704,1280.648,1575.14,1653.006,1695.724,1484.416,1778.53,2133.092,2136.222
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.961,2.137,2.388,2.943,3.317,4.068,5.179,5.671,6.122,6.881,7.651,7.816,8.235,8.542,8.691,9.253,9.643,10.355,10.185,11.067,12.098,13.116
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.826,0.875,0.954,0.958,1.009,1.061,1.079,1.165,0.981,0.95,1.115,1.201
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.429,0.486,0.579,0.613,0.674,0.684,0.713,0.762,0.788,0.805,0.877,0.921,0.932,0.892,0.899,0.987,1.066,1.135,1.267,1.331,1.427,1.399,1.482,1.568,1.598,1.66,1.749,1.807,1.865,1.997,2.057,2.094,1.516,1.691,1.972,2.153
Saint Vincent and the Grenadines,0.089,0.11,0.123,0.132,0.146,0.157,0.174,0.19,0.217,0.232,0.26,0.275,0.3,0.309,0.313,0.341,0.358,0.376,0.403,0.422,0.428,0.462,0.488,0.509,0.55,0.58,0.644,0.714,0.733,0.714,0.72,0.714,0.73,0.765,0.771,0.787,0.814,0.848,0.884,0.91,0.872,0.881,0.948,1.047
Samoa,0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.869,0.844,0.83,0.835
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.703,1.623,1.621
Saudi Arabia,164.539,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.775,161.717,189.514,184.138,189.606,215.807,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.935,688.586,816.578,803.616,703.368,833.541,1010.588,996.39
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.64,27.542,29.773
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.228,17.411,11.369,9.312,12.313,16.177,21.219,24.743,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.3,48.394,47.062,39.656,40.693,44.179,50.641,51.514,53.335,63.068,62.721,68.679
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.416,1.49,1.573,1.629,1.683,1.262,1.457,2.005,2.128
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.074,4.059,4.148,4.101,3.999
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.822,343.187,376.987,375.484,345.286,396.992,423.632,447.159
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,13.726,15.837,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,90.875,99.475,94.313,98.571,101.115,88.646,89.65,95.36,105.661,105.296,105.088,114.947,112.418,122.026
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.261,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.572,54.202,54.338,53.664,61.79,62.191,65.202
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.632,1.601,1.702
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.917,4.042,4.577,5.025,5.335,5.534,5.609,5.856,6.485,6.883,7.628,8.416,9.011
South Africa,89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,403.991,388.446,337.521,418.907,411.48,422.336
"South Sudan, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,5.319,6.71,5.167,4.784,8.549
Spain,230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.583,1355.162,1371.576,1195.721,1232.573,1312.076,1421.639,1393.2,1280.459,1426.224,1389.927,1421.012
Sri Lanka,5.194,5.404,5.834,6.298,7.382,7.302,7.826,8.149,8.518,8.55,9.787,10.716,11.553,12.351,14.245,15.127,16.592,18.544,19.05,19.143,20.007,19.236,20.238,22.352,24.423,28.88,33.447,38.27,48.177,49.75,58.643,67.725,70.392,76.934,82.483,85.091,88,94.376,94.484,89.015,85.349,88.979,73.739,0
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.432,33.564,34.379,35.14,42.762,44.514
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,3.984,2.884,2.854,3.011,3.145
Sweden,140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,533.88,547.054,635.664,603.922,653.962
Switzerland,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,352.97,340.188,294.733,303.139,297.536,279.182,286.712,309.516,362.132,403.417,418.051,441.664,490.825,566.928,553.671,598.199,715.671,686.362,706.414,726.66,693.882,687.567,695.293,725.788,721.851,738.998,799.796,807.418,834.596
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,0,0,0,0,0,0,0,0,0,0,0,0,0
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.431,0.477,0.518,0.506,0.534
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,611.396,669.25,774.728,828.659,858.972
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.746,9.983,10.509
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,64.403,70.309,76.582,84.932
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.547,544.027,499.75,505.902,534.758,580.688
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.447,1.594,1.651,1.616,1.584,2.048,1.902,2.358,2.455,2.085
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.115,7.221,7.586,8.43,8.359,8.986
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.481,0.511,0.49,0.47,0.501,0.536
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.782,27.294,27.643,25.192,22.382,23.18,23.821,23.886,21.393,23.994,29.337,29.337
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.772,42.516,46.842,46.282,46.023
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,1.607,9.063,7.675,9.927,4.021,4.531,4.837,6.518,8.487,11.717,14.703,19.307,23.991,29.023,36.154,43.875,36.363,34.162,34.788,44.07,49.858,51.301,55.523,44.06,41.698,46.365,48.686,52.961,53.187,62.202,74.439,82.365
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.032,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.055,0.063,0.064,0.068
"Türkiye, Republic of",96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.694,759.45,720.11,817.508,853.487,941.551
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.65,29.596,31.403,34.182,38.059,37.519,42.959,48.352,52.397
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.574,130.571,90.477,93.313,112.114,130.916,153.997,156.418,199.719,0,0
United Arab Emirates,40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.199,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,385.605,422.215,417.216,358.869,419.762,503.913,519.046
United Kingdom,603.601,587.273,558.348,532.115,504.226,536.592,654.684,813.147,990.234,1008.433,1195.372,1250.282,1292.094,1157.501,1244.009,1346.687,1422.969,1559.896,1653.549,1686.179,1665.276,1644.331,1786.893,2058.967,2422.908,2547.689,2720.887,3107.373,2969.961,2434.48,2493.557,2675.808,2719.642,2805.115,3088.773,2957.227,2732.956,2701.268,2904.513,2880.357,2758.87,3187.626,3198.47,3479.468
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19479.625,20527.15,21372.6,20893.75,22996.075,25035.164,26185.21
Uruguay,12.165,13.578,11.1,6.093,5.794,5.662,7.029,8.794,9.098,9.589,11.156,13.445,15.45,17.987,20.95,23.168,24.625,26.044,27.587,26.066,24.804,22.712,14.809,13.109,14.892,18.901,21.314,25.486,32.988,34.395,43.816,52.319,55.556,62.094,61.851,57.435,57.246,64.385,64.296,61.017,53.698,59.294,71.161,72.986
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,61.018,52.618,59.907,59.893,69.202,79.117,91.895
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.929,0.93,0.994,0.927,0.984,1.04
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.75,258.986,214.869,125.446,112.912,115.883,102.084,74.418,44.953,59.513,82.145,86.704
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,303.091,327.873,342.941,366.201,413.808,469.62
West Bank and Gaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.516,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.037,18.818,19.398
Yemen,0,0,0,0,0,0,0,0,0,0,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,18.85,19.911,27.594,28.099
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.111,21.313,27.025,28.798
Zimbabwe,0,0,0,0,0,0,0,0,0,0,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.1,17.116,19.093,19.499,19.969,20.555,21.385,36.945,22.995,23.181,32.868,38.28,37.303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
