Entity,Code,Year,Floating-Point Operations per Second
World,OWID_WRL,1993,124000000000
World,OWID_WRL,1994,170000000000
World,OWID_WRL,1995,170000000000
World,OWID_WRL,1996,368000000000
World,OWID_WRL,1997,1300000000000
World,OWID_WRL,1998,1300000000000
World,OWID_WRL,1999,2400000000000
World,OWID_WRL,2000,4900000000000
World,OWID_WRL,2001,7200000000000
World,OWID_WRL,2002,35900000000000
World,OWID_WRL,2003,35900000000000
World,OWID_WRL,2004,70700000000000
World,OWID_WRL,2005,280600000000000
World,OWID_WRL,2006,280600000000000
World,OWID_WRL,2007,478200000000000
World,OWID_WRL,2008,1100000000000000
World,OWID_WRL,2009,1800000000000000
World,OWID_WRL,2010,2600000000000000
World,OWID_WRL,2011,10500000000000000
World,OWID_WRL,2012,17600000000000000
World,OWID_WRL,2013,33900000000000000
World,OWID_WRL,2014,33900000000000000
World,OWID_WRL,2015,33900000000000000
World,OWID_WRL,2016,93000000000000000
World,OWID_WRL,2017,93000000000000000
World,OWID_WRL,2018,143500000000000000
World,OWID_WRL,2019,148600000000000000
World,OWID_WRL,2020,442000000000000000
World,OWID_WRL,2021,442000000000000000